"zip","city","county","population"
61071,"Rock Falls","Whiteside County",13581
61866,"Rantoul","Champaign County",13470
60526,"La Grange Park","Cook County",13459
61443,"Kewanee","Henry County",13456
60558,"Western Springs","Cook County",13446
61605,"Peoria","Peoria County",13424
61705,"Bloomington","McLean County",13213
60712,"Lincolnwood","Cook County",13112
60033,"Harvard","McHenry County",12999
62206,"East Saint Louis","St. Clair County",12959
60471,"Richton Park","Cook County",12848
62948,"Herrin","Williamson County",12758
60633,"Chicago","Cook County",12474
60152,"Marengo","McHenry County",12417
60012,"Crystal Lake","McHenry County",12368
61525,"Dunlap","Peoria County",12357
62450,"Olney","Richland County",12327
62052,"Jerseyville","Jersey County",12237
61254,"Geneseo","Henry County",12135
60554,"Sugar Grove","Kane County",12081
61548,"Metamora","Woodford County",12037
60305,"River Forest","Cook County",11992
60097,"Wonder Lake","McHenry County",11983
60950,"Manteno","Kankakee County",11964
60190,"Winfield","DuPage County",11826
60548,"Sandwich","DeKalb County",11721
62812,"Benton","Franklin County",11611
60501,"Summit Argo","Cook County",11432
60661,"Chicago","Cook County",11398
60176,"Schiller Park","Cook County",11393
60119,"Elburn","Kane County",11381
60143,"Itasca","DuPage County",11324
61072,"Rockton","Winnebago County",11285
61944,"Paris","Edgar County",11261
62946,"Harrisburg","Saline County",11256
60481,"Wilmington","Will County",11195
62881,"Salem","Marion County",11078
62010,"Bethalto","Madison County",11028
60020,"Fox Lake","Lake County",10970
61080,"South Beloit","Winnebago County",10955
60428,"Markham","Cook County",10927
60482,"Worth","Cook County",10897
61356,"Princeton","Bureau County",10799
62960,"Metropolis","Massac County",10783
62095,"Wood River","Madison County",10726
62918,"Carterville","Williamson County",10658
62896,"West Frankfort","Franklin County",10627
61607,"Peoria","Peoria County",10600
60418,"Crestwood","Cook County",10572
61065,"Poplar Grove","Boone County",10570
62454,"Robinson","Crawford County",10477
61462,"Monmouth","Warren County",10458
60171,"River Grove","Cook County",10451
62258,"Mascoutah","St. Clair County",10437
61301,"La Salle","LaSalle County",10398
60534,"Lyons","Cook County",10327
60044,"Lake Bluff","Lake County",10312
61354,"Peru","LaSalle County",10290
61523,"Chillicothe","Peoria County",10203
60523,"Oak Brook","DuPage County",10144
62246,"Greenville","Bond County",10077
61264,"Milan","Rock Island County",10073
62712,"Springfield","Sangamon County",10045
60475,"Steger","Cook County",10035
60083,"Wadsworth","Lake County",9981
60915,"Bradley","Kankakee County",9979
62471,"Vandalia","Fayette County",9937
60514,"Clarendon Hills","DuPage County",9918
60464,"Palos Park","Cook County",9773
60416,"Coal City","Grundy County",9550
60422,"Flossmoor","Cook County",9542
62024,"East Alton","Madison County",9493
60449,"Monee","Will County",9477
62863,"Mount Carmel","Wabash County",9379
60081,"Spring Grove","McHenry County",9088
61727,"Clinton","De Witt County",9033
60041,"Ingleside","Lake County",9024
62832,"Du Quoin","Perry County",8865
61874,"Savoy","Champaign County",8811
60136,"Gilberts","Kane County",8777
60425,"Glenwood","Cook County",8714
61342,"Mendota","LaSalle County",8543
62056,"Litchfield","Montgomery County",8528
60069,"Lincolnshire","Lake County",8502
61282,"Silvis","Rock Island County",8394
60022,"Glencoe","Cook County",8352
60042,"Island Lake","Lake County",8347
62233,"Chester","Randolph County",8326
62062,"Maryville","Madison County",8277
61856,"Monticello","Piatt County",8226
60162,"Hillside","Cook County",8084
62274,"Pinckneyville","Perry County",8041
60155,"Broadview","Cook County",7906
62626,"Carlinville","Macoupin County",7876
62049,"Hillsboro","Montgomery County",7871
62837,"Fairfield","Wayne County",7868
61834,"Danville","Vermilion County",7821
61951,"Sullivan","Moultrie County",7787
61341,"Marseilles","LaSalle County",7692
60401,"Beecher","Will County",7647
62565,"Shelbyville","Shelby County",7559
61010,"Byron","Ogle County",7497
62707,"Springfield","Sangamon County",7472
62618,"Beardstown","Cass County",7428
62906,"Anna","Union County",7329
60135,"Genoa","DeKalb County",7274
61036,"Galena","Jo Daviess County",7121
62232,"Caseyville","St. Clair County",7063
62439,"Lawrenceville","Lawrence County",7033
62441,"Marshall","Clark County",7003
62207,"East Saint Louis","St. Clair County",6984
61270,"Morrison","Whiteside County",6912
62557,"Pana","Christian County",6878
61061,"Oregon","Ogle County",6766
60484,"University Park","Will County",6762
62254,"Lebanon","St. Clair County",6710
61606,"Peoria","Peoria County",6684
62012,"Brighton","Jersey County",6672
62260,"Millstadt","St. Clair County",6668
62821,"Carmi","White County",6668
61241,"Colona","Henry County",6587
60096,"Winthrop Harbor","Lake County",6527
61953,"Tuscola","Douglas County",6518
61530,"Eureka","Woodford County",6470
62205,"East Saint Louis","St. Clair County",6459
62549,"Mt Zion","Macon County",6454
